timestamp,sensor_id,roll,pitch,yaw
2025-07-14T16:49:40.453818,2,-1.84,-2.42,0.48
2025-07-14T16:49:40.457206,4,1.33,-3.74,-35.77
2025-07-14T16:49:40.473329,6,-0.05,0.59,0.02
2025-07-14T16:49:40.473498,2,-1.87,-2.4,0.48
2025-07-14T16:49:40.473634,4,1.38,-3.82,-36.11
2025-07-14T16:49:40.489921,6,-0.01,0.8,0.03
2025-07-14T16:49:40.490249,2,-1.87,-2.4,0.49
2025-07-14T16:49:40.490618,4,1.46,-3.8,-36.54
2025-07-14T16:49:40.505991,6,0.0,1.03,0.03
2025-07-14T16:49:40.506175,2,-1.86,-2.44,0.5
2025-07-14T16:49:40.506353,4,1.52,-3.73,-37.04
2025-07-14T16:49:40.506527,6,-0.02,1.38,0.01
2025-07-14T16:49:40.519880,2,-1.82,-2.47,0.52
2025-07-14T16:49:40.520024,4,1.59,-3.7,-37.61
2025-07-14T16:49:40.532738,6,-0.06,1.74,0.02
2025-07-14T16:49:40.532928,2,-1.83,-2.49,0.55
2025-07-14T16:49:40.533084,4,1.63,-3.73,-38.25
2025-07-14T16:49:40.548802,6,-0.12,2.19,0.05
2025-07-14T16:49:40.549242,2,-1.83,-2.41,0.55
2025-07-14T16:49:40.549718,4,1.64,-3.76,-38.98
2025-07-14T16:49:40.567086,6,-0.22,2.77,0.08
2025-07-14T16:49:40.567568,2,-1.83,-2.42,0.56
2025-07-14T16:49:40.568018,4,1.66,-3.82,-39.86
2025-07-14T16:49:40.568429,6,-0.18,3.52,0.09
2025-07-14T16:49:40.585348,2,-1.85,-2.45,0.51
2025-07-14T16:49:40.585781,4,1.72,-3.78,-40.85
2025-07-14T16:49:40.586152,6,-0.14,4.36,0.09
2025-07-14T16:49:40.586548,2,-1.82,-2.48,0.49
2025-07-14T16:49:40.602966,4,1.78,-3.72,-41.9
2025-07-14T16:49:40.603327,6,-0.08,5.2,0.08
2025-07-14T16:49:40.603709,2,-1.83,-2.34,0.4
2025-07-14T16:49:40.620165,4,1.82,-3.65,-42.89
2025-07-14T16:49:40.620553,6,-0.04,5.98,0.09
2025-07-14T16:49:40.620928,2,-1.82,-2.43,0.34
2025-07-14T16:49:40.621299,4,1.8,-3.67,-43.75
2025-07-14T16:49:40.637600,6,0.05,6.65,0.12
2025-07-14T16:49:40.637979,2,-1.85,-2.32,0.24
2025-07-14T16:49:40.638350,4,1.81,-3.73,-44.45
2025-07-14T16:49:40.652999,6,0.19,7.19,0.13
2025-07-14T16:49:40.653414,2,-1.88,-2.34,0.15
2025-07-14T16:49:40.653794,4,1.77,-3.74,-44.96
2025-07-14T16:49:40.670475,6,0.29,7.53,0.14
2025-07-14T16:49:40.670854,2,-1.89,-2.5,0.08
2025-07-14T16:49:40.671229,4,1.7,-3.72,-45.26
2025-07-14T16:49:40.671565,6,0.35,7.58,0.14
2025-07-14T16:49:40.688029,2,-1.9,-2.36,-0.0
2025-07-14T16:49:40.688448,4,1.62,-3.7,-45.34
2025-07-14T16:49:40.688775,6,0.43,7.44,0.13
2025-07-14T16:49:40.706296,2,-1.92,-2.39,-0.04
2025-07-14T16:49:40.706468,4,1.6,-3.72,-45.21
2025-07-14T16:49:40.706608,6,0.54,7.05,0.11
2025-07-14T16:49:40.706747,2,-1.92,-2.46,-0.12
2025-07-14T16:49:40.720247,4,1.53,-3.76,-44.97
2025-07-14T16:49:40.720619,6,0.65,6.57,0.07
2025-07-14T16:49:40.721020,2,-1.94,-2.49,-0.15
2025-07-14T16:49:40.738191,4,1.45,-3.74,-44.76
2025-07-14T16:49:40.738633,6,0.75,6.1,0.0
2025-07-14T16:49:40.739089,2,-1.92,-2.53,-0.18
2025-07-14T16:49:40.755088,4,1.44,-3.68,-44.65
2025-07-14T16:49:40.755235,6,0.82,5.81,-0.05
2025-07-14T16:49:40.755386,2,-1.91,-2.58,-0.17
2025-07-14T16:49:40.755530,4,1.52,-3.59,-44.63
2025-07-14T16:49:40.768505,6,0.81,5.61,-0.09
2025-07-14T16:49:40.768706,2,-1.9,-2.53,-0.15
2025-07-14T16:49:40.782181,4,1.57,-3.59,-44.64
2025-07-14T16:49:40.782364,6,0.77,5.64,-0.13
2025-07-14T16:49:40.782553,2,-1.89,-2.55,-0.08
2025-07-14T16:49:40.797405,4,1.57,-3.64,-44.63
2025-07-14T16:49:40.797812,6,0.72,5.6,-0.17
2025-07-14T16:49:40.798207,2,-1.88,-2.49,-0.03
2025-07-14T16:49:40.814937,4,1.53,-3.67,-44.56
2025-07-14T16:49:40.815297,6,0.65,5.47,-0.23
2025-07-14T16:49:40.815665,2,-1.86,-2.41,0.04
2025-07-14T16:49:40.816027,4,1.47,-3.68,-44.44
2025-07-14T16:49:40.832450,6,0.58,5.19,-0.3
2025-07-14T16:49:40.832825,2,-1.85,-2.44,0.1
2025-07-14T16:49:40.833199,4,1.44,-3.65,-44.29
2025-07-14T16:49:40.849480,6,0.53,4.8,-0.37
2025-07-14T16:49:40.849859,2,-1.84,-2.49,0.15
2025-07-14T16:49:40.850226,4,1.53,-3.61,-44.14
2025-07-14T16:49:40.850580,6,0.52,4.39,-0.43
2025-07-14T16:49:40.866833,2,-1.84,-2.5,0.19
