timestamp,sensor_id,roll,pitch,yaw
2025-07-14T18:51:55.843678,4,-3.34,4.47,-33.57
2025-07-14T18:51:55.843725,6,0.49,-0.98,0.08
2025-07-14T18:51:55.843755,2,-1.25,1.57,1.05
2025-07-14T18:51:55.877599,4,-3.36,4.48,-33.57
2025-07-14T18:51:55.877667,2,-1.26,1.58,1.06
2025-07-14T18:51:55.880767,4,-3.38,4.49,-33.58
2025-07-14T18:51:55.880799,2,-1.25,1.58,1.07
2025-07-14T18:51:55.880824,2,-1.25,1.58,1.07
2025-07-14T18:51:55.934678,4,-3.36,4.47,-33.59
2025-07-14T18:51:55.934737,6,0.49,-1.0,0.09
2025-07-14T18:51:55.987882,2,-1.26,1.58,1.07
2025-07-14T18:51:55.987931,2,-1.25,1.56,1.08
2025-07-14T18:51:55.987958,2,-1.26,1.59,1.08
2025-07-14T18:51:55.989027,2,-1.29,1.6,1.06
2025-07-14T18:51:56.225267,6,0.48,-1.0,0.09
2025-07-14T18:51:56.225333,2,-1.3,1.6,1.06
2025-07-14T18:51:56.225397,4,-3.37,4.48,-33.68
2025-07-14T18:51:56.251489,2,-1.3,1.6,1.07
2025-07-14T18:51:56.251548,2,-1.29,1.6,1.07
2025-07-14T18:51:56.340139,2,-1.29,1.62,1.07
2025-07-14T18:51:56.340203,6,0.5,-0.99,0.09
2025-07-14T18:51:56.343355,6,0.5,-0.99,0.1
2025-07-14T18:51:56.346603,2,-1.29,1.62,1.07
2025-07-14T18:51:56.478111,2,-1.28,1.62,1.07
2025-07-14T18:51:56.478178,4,-3.38,4.5,-33.8
2025-07-14T18:51:56.478214,2,-1.27,1.61,1.07
2025-07-14T18:51:56.480456,6,0.5,-1.0,0.1
2025-07-14T18:51:56.483713,2,-1.27,1.61,1.06
2025-07-14T18:51:56.563261,4,-3.39,4.49,-33.82
2025-07-14T18:51:56.563321,6,0.49,-1.01,0.1
2025-07-14T18:51:56.563359,2,-1.27,1.62,1.07
2025-07-14T18:51:56.643323,2,-1.27,1.6,1.07
2025-07-14T18:51:56.643409,6,0.49,-1.0,0.09
2025-07-14T18:51:56.643451,2,-1.28,1.61,1.07
2025-07-14T18:51:56.704310,4,-3.38,4.49,-33.85
2025-07-14T18:51:56.707576,2,-1.27,1.61,1.06
2025-07-14T18:51:56.828673,4,-3.38,4.48,-33.86
2025-07-14T18:51:56.956990,2,-1.26,1.6,1.06
2025-07-14T18:51:56.957050,6,0.5,-0.99,0.09
2025-07-14T18:51:56.957087,2,-1.91,2.29,0.66
2025-07-14T18:51:56.957122,4,-3.67,3.75,-34.0
2025-07-14T18:51:56.957156,2,-1.81,1.77,-0.79
2025-07-14T18:51:57.062322,6,-1.88,-1.47,-1.95
2025-07-14T18:51:57.063433,2,-1.94,1.4,-1.95
2025-07-14T18:51:57.172991,4,-6.34,2.66,-33.77
2025-07-14T18:51:57.200102,4,-7.48,1.34,-33.92
2025-07-14T18:51:57.200167,2,-2.06,1.55,-3.45
2025-07-14T18:51:57.278652,2,-2.23,1.66,-4.8
2025-07-14T18:51:57.382642,4,-9.72,0.69,-33.87
2025-07-14T18:51:57.382703,2,-2.33,1.7,-5.94
2025-07-14T18:51:57.382736,2,-2.49,1.58,-6.43
2025-07-14T18:51:57.436257,4,-11.08,1.04,-33.72
2025-07-14T18:51:57.436314,2,-2.52,1.59,-6.65
2025-07-14T18:51:57.436347,6,-7.07,-2.36,-4.8
2025-07-14T18:51:57.436406,2,-2.6,1.61,-7.2
2025-07-14T18:51:57.436442,4,-11.93,0.87,-33.66
2025-07-14T18:51:57.542229,2,-2.68,1.83,-7.83
2025-07-14T18:51:57.542286,2,-2.76,1.72,-8.21
2025-07-14T18:51:57.545038,4,-12.78,0.97,-33.55
2025-07-14T18:51:57.548312,6,-8.28,-2.66,-4.9
2025-07-14T18:51:57.919006,2,-2.84,1.58,-8.57
2025-07-14T18:51:58.031238,2,-2.9,1.61,-9.0
2025-07-14T18:51:58.031295,4,-13.56,1.1,-33.58
2025-07-14T18:51:58.031325,4,-13.29,1.02,-33.62
2025-07-14T18:51:59.370106,4,-2.24,0.43,-35.03
2025-07-14T18:51:59.370167,2,-1.37,1.43,2.12
2025-07-14T18:51:59.370202,2,-1.36,1.42,2.13
2025-07-14T18:51:59.370234,6,2.18,-0.64,-3.97
2025-07-14T18:51:59.370268,2,-1.36,1.45,2.19
2025-07-14T18:51:59.476954,4,-2.18,0.38,-35.07
2025-07-14T18:51:59.477011,6,2.16,-0.65,-4.0
2025-07-14T18:51:59.477046,4,-2.22,0.35,-35.08
2025-07-14T18:51:59.477078,6,2.17,-0.64,-4.01
2025-07-14T18:51:59.477109,2,-1.37,1.46,2.17
2025-07-14T18:51:59.477138,4,-2.2,0.35,-35.08
